,estados,x,y
0,acre,-245.0,53.0
1,alagoas,241.0,41.0
2,amapá,27.0,203.0
3,amazonas,-142.0,127.0
4,bahia,168.0,9.0
5,ceará,201.0,107.0
6,distrito federal,82.0,-36.0
7,espírito santo,175.0,-98.0
8,goiás,51.0,-49.0
9,maranhão,120.0,114.0
10,mato grosso,-29.0,1.0
11,mato grosso do sul,-17.0,-101.0
12,minas gerais,119.0,-81.0
13,pará,11.0,117.0
14,paraíba,236.0,76.0
15,paraná,24.0,-159.0
16,pernambuco,213.0,61.0
17,piauí,139.0,71.0
18,rio de janeiro,143.0,-132.0
19,rio grande do norte,238.0,97.0
20,rio grande do sul,1.0,-227.0
21,rondônia,-133.0,31.0
22,roraima,-108.0,212.0
23,santa catarina,42.0,-194.0
24,são paulo,65.0,-126.0
25,sergipe,224.0,28.0
26,tocantins,72.0,37.0
