,0,1
0,nie,8583207
1,to,6394833
2,się,5144785
3,w,3988120
4,na,3386060
5,i,3249275
6,że,3140397
7,z,3104206
8,co,2834994
9,jest,2730378
10,do,2318623
11,tak,2202077
12,o,1780471
13,jak,1709256
14,ale,1523438
15,a,1493736
16,mnie,1408401
17,mi,1207300
18,za,1024785
19,ja,874103
20,tym,871066
21,tego,841575
22,go,826537
23,ci,825774
24,po,800323
25,tylko,799409
26,czy,798343
27,tu,796370
28,może,793977
29,jestem,774997
30,ma,759836
31,ty,754983
32,cię,742982
33,mam,722105
34,jesteś,691420
35,już,690940
36,jeśli,670572
37,dla,656889
38,wiem,649740
39,coś,643701
40,dobrze,591715
41,więc,585727
42,od,580173
43,teraz,571725
44,pan,539584
45,wszystko,533697
46,być,531548
47,będzie,497324
48,masz,495877
49,nic,495746
50,tam,489015
51,mogę,479016
52,proszę,476755
53,jej,475279
54,są,465705
55,gdzie,446600
56,kiedy,446532
57,ten,444007
58,on,433846
59,ciebie,433542
60,by,426249
61,sobie,424604
62,ze,424107
63,był,422613
64,wiesz,420223
65,bardzo,409540
66,było,404457
67,przez,393715
68,jego,389323
69,ją,385773
70,chcę,385601
71,dlaczego,383206
72,pani,381444
73,jeszcze,374688
74,mój,370480
75,nas,365829
76,żeby,355927
77,no,355113
78,bo,346184
79,chcesz,345593
80,ich,341869
81,też,335955
82,tutaj,326976
83,naprawdę,317261
84,nigdy,313438
85,mamy,313042
86,kto,307407
87,możesz,299424
88,dobra,294856
89,przepraszam,292996
90,mu,286224
91,gdy,272430
92,muszę,272207
93,porządku,268877
94,dziękuję,266404
95,nawet,258786
96,chyba,258558
97,domu,256483
98,ona,253795
99,prawda,253389
100,zrobić,253069
101,była,245906
102,właśnie,242267
103,będę,232300
104,zawsze,227957
105,hej,225912
106,nim,225750
107,nam,224591
108,te,223665
109,moja,222047
110,musisz,220431
111,je,217804
112,dzięki,217087
113,bez,215682
114,tej,214760
115,trochę,214463
116,ktoś,212659
117,panie,208261
118,jesteśmy,207003
119,moje,206240
120,powiedzieć,205727
121,który,201545
122,czas,200261
123,więcej,198115
124,twój,197869
125,musimy,197154
126,lat,195079
127,ta,192634
128,chce,192600
129,możemy,191665
130,wszyscy,190207
131,tobą,190084
132,albo,189924
133,prostu,188283
134,chodzi,187598
135,razem,186710
136,stało,180653
137,cześć,178179
138,mną,176201
139,czego,175736
140,sam,171134
141,myślę,170414
142,pana,170238
143,przed,168472
144,boże,168017
145,raz,167947
146,czemu,167836
147,będziesz,165402
148,niż,164897
149,ludzie,164250
150,dalej,162609
151,czym,162304
152,was,159757
153,dobry,158271
154,przy,156386
155,ludzi,156290
156,dzień,155719
157,życie,155718
158,lepiej,152593
159,miał,152042
160,rzeczy,151027
161,twoja,150346
162,czasu,149477
163,ok,148006
164,temu,147615
165,robisz,147246
166,myślisz,146634
167,kim,146518
168,niech,145960
169,które,144895
170,oczywiście,143326
171,siebie,143313
172,niego,142933
173,cóż,141898
174,powiedział,141467
175,u,141209
176,daj,141158
177,moim,140845
178,chodź,140119
179,musi,140063
180,my,139667
181,nikt,139542
182,twoje,139460
183,tych,138793
184,pod,137518
185,dlatego,136719
186,pewnie,133794
187,powiedz,133182
188,aby,131894
189,wtedy,129790
190,wygląda,129394
191,jeden,128427
192,mojego,127604
193,im,127101
194,mówi,125721
195,dziś,125499
196,taki,124839
197,mieć,124567
198,jako,124059
199,dwa,123485
200,potem,123106
201,wie,121813
202,takie,121805
203,nią,121535
204,wszystkie,121446
205,znaczy,121002
206,rozumiem,119652
207,dzieje,119411
208,moją,119279
209,będziemy,118181
210,wiele,117908
211,stąd,117056
212,oni,116753
213,mojej,116624
214,miejsce,116573
215,iść,115801
216,kilka,115635
217,pomóc,115614
218,dużo,114952
219,ile,112873
220,jasne,112750
221,byłem,112691
222,swoje,111245
223,myśli,111224
224,cały,111220
225,skąd,110204
226,wiedzieć,108818
227,dzieci,108419
228,nich,108311
229,która,106495
230,wam,105972
231,przykro,105926
232,można,105450
233,jakieś,105124
234,tę,104516
235,wszystkich,104113
236,nad,104024
237,jakiś,103860
238,sposób,103855
239,trzeba,103284
240,mają,103148
241,niej,101430
242,pracy,101224
243,kogoś,100740
244,tyle,100637
245,robić,100071
246,bardziej,100011
247,mówisz,99924
248,zanim,99188
249,zbyt,97923
250,szybko,97630
251,dzisiaj,96974
252,tobie,96562
253,takiego,95637
254,świetnie,94599
255,zobaczyć,93981
256,zaraz,93903
257,pewno,93700
258,miałem,93581
259,kocham,93536
260,mówię,93488
261,nadal,92632
262,jaki,92417
263,rację,91651
264,kochanie,91307
265,myślałem,91134
266,trzy,90688
267,ojciec,90532
268,ani,90528
269,robi,89112
270,stanie,88873
271,tą,88479
272,później,88384
273,ponieważ,88119
274,idź,87510
275,życia,87209
276,twoim,87163
277,przestań,87065
278,sie,87050
279,swoją,86609
280,chciałem,86245
281,długo,85469
282,mamo,85342
283,kiedyś,85085
284,cholera,85043
285,wciąż,84964
286,nadzieję,84817
287,aż,84700
288,będą,84671
289,jutro,84479
290,każdy,83960
291,dni,83654
292,problem,83534
293,widzę,83206
294,mógł,83152
295,stary,82685
296,taka,82627
297,żebyś,81910
298,widzisz,81669
299,twojej,81185
300,tato,80798
301,potrzebuję,80733
302,znowu,80445
303,kurwa,80388
304,dziecko,79933
305,nocy,79849
306,znaleźć,79743
307,sama,79622
308,dokładnie,79075
309,dnia,79064
310,oh,78757
311,pierwszy,78717
312,czuję,78699
313,pieniądze,78076
314,powiem,77603
315,zrobił,77295
316,nami,77059
317,miała,76988
318,twoją,76979
319,gdyby,76796
320,nasz,76292
321,nasze,75931
322,razie,75917
323,samo,75561
324,były,74847
325,dobre,74775
326,słuchaj,74699
327,koniec,74633
328,chciał,74406
329,widziałem,74347
330,jakie,74262
331,wszystkim,73695
332,znam,73681
333,wcześniej,73355
334,spokój,72786
335,chwilę,72545
336,mama,72438
337,sobą,71978
338,zostać,71918
339,został,71877
340,wy,71834
341,czegoś,71676
342,żyje,71606
343,mówić,71251
344,bym,71199
345,którzy,70985
346,porozmawiać,70763
347,spójrz,70280
348,roku,70154
349,mogą,69684
350,chciałbym,69552
351,zabić,69481
352,poza,69292
353,dom,69135
354,we,68974
355,imię,68874
356,twojego,68724
357,lub,68669
358,och,68323
359,miło,67768
360,którą,67713
361,kogo,67541
362,sir,67420
363,minut,67386
364,jakby,67124
365,prawie,67021
366,drzwi,66329
367,byłam,66245
368,jesteście,66213
369,posłuchaj,65927
370,powiedziałem,65923
371,powodu,65567
372,powinniśmy,65168
373,gdzieś,64951
