2001: A Space Odyssey,1968
The Godfather,1972
Citizen Kane,1941
"Jeanne Dielman, 23, Quai du Commerce, 1080 Bruxelles",1975
Raiders of the Lost Ark,1981
La Dolce Vita,1960
Seven Samurai,1954
In the Mood for Love,2000
There Will Be Blood,2007
Singin’ in the Rain,1952
Goodfellas,1990
North by Northwest,1959
Mulholland Drive,2001
Bicycle Thieves,1948
The Dark Knight,2008
City Lights,1931
Grand Illusion,1937
His Girl Friday,1940
The Red Shoes,1948
Vertigo,1958
Beau Travail,1999
The Searchers,1956
Persona,1966
Do the Right Thing,1989
Rashomon,1950
The Rules of the Game,1939
Jaws,1975
Double Indemnity,1944
The 400 Blows,1959
Star Wars,1977
The Passion of Joan of Arc,1928
Once Upon a Time in the West,1968
Alien,1979
Tokyo Story,1951
Pulp Fiction,1994
The Truman Show,1998
Lawrence of Arabia,1962
Psycho,1960
Sansho the Bailiff,1954
Andrei Rublev,1966
The Umbrellas of Cherbourg,1964
Chinatown,1974
The Seventh Seal,1957
Lost in Translation,2003
Taxi Driver,1976
Spirited Away,2001
Night of the Living Dead,1968
Battleship Potemkin,1925
Modern Times,1936
Breathless,1960
M,1931
The Bitter Tears of Petra von Kant,1972
"Rome, Open City",1945
Nosferatu,1922
Airplane!,1980
Under the Skin,2013
Mad Max: Fury Road,2015
Apocalypse Now,1979
Brokeback Mountain,2005
Duck Soup,1933
The Blair Witch Project,1999
All the President’s Men,1976
The Apu trilogy,"1955, 1956, 1959"
The General,1926
Eternal Sunshine of the Spotless Mind,2004
The Texas Chain Saw Massacre,1974
Come and See,1985
Heat,1995
The Shining,1980
Toy Story,1995
Killer of Sheep,1977
A Woman Under the Influence,1974
Annie Hall,1977
Some Like It Hot,1959
Metropolis,1927
The Maltese Falcon,1941
This Is Spinal Tap,1984
It Happened One Night,1934
Die Hard,1988
The Conformist,1970
The Thing,1982
Daughters of the Dust,1991
Barry Lyndon,1975
Raging Bull,1980
Seven,1995
"Aguirre, the Wrath of God",1972
The Battle of Algiers,1966
Women on the Verge of a Nervous Breakdown,1988
Boyhood,2014
The Discreet Charm of the Bourgeoisie,1972
Paths of Glory,1957
Secrets & Lies,1996
Sweet Smell of Success,1957
Nashville,1975
Don’t Look Now,1973
Bonnie and Clyde,1967
Get Out,2017
